query,size,stream,streams,parallelism,measurement
q46,100,0,1,1,16.4327449798584
q42,100,0,1,1,3.9363410472869873
q43,100,0,1,1,5.559514999389648
q40,100,0,1,1,21.445454120635986
q12,100,0,1,1,1.7747888565063477
q49,100,0,1,1,39.78499722480774
q20,100,0,1,1,2.4748730659484863
q21,100,0,1,1,8.179395198822021
q34,100,0,1,1,6.45237398147583
q99,100,0,1,1,5.6171300411224365
q25,100,0,1,1,83.8110671043396
q26,100,0,1,1,5.380443096160889
q65,100,0,1,1,25.17391800880432
q29,100,0,1,1,79.54721808433533
q66,100,0,1,1,20.501706838607788
q39,100,0,1,1,33.3545880317688
q62,100,0,1,1,3.0495429039001465
q63,100,0,1,1,6.025968074798584
q1,100,0,1,1,4.827534914016724
q3,100,0,1,1,4.813853025436401
q2,100,0,1,1,12.725298166275024
q68,100,0,1,1,11.253233194351196
q4,100,0,1,1,26.91111183166504
q7,100,0,1,1,10.790859937667847
q73,100,0,1,1,6.214777946472168
q50,100,0,1,1,37.18128705024719
q53,100,0,1,1,6.232331037521362
q52,100,0,1,1,3.9369618892669678
q55,100,0,1,1,3.807875871658325
q98,100,0,1,1,4.255924940109253
q59,100,0,1,1,18.964046001434326
q96,100,0,1,1,4.499085187911987
q91,100,0,1,1,2.5270252227783203
q93,100,0,1,1,33.613312005996704
q15,100,0,1,1,3.3529860973358154
q17,100,0,1,1,82.0100519657135
q30,100,0,1,1,3.557204008102417
q37,100,0,1,1,38.83048701286316
q79,100,0,1,1,9.734991073608398
q78,100,0,1,1,17.136243104934692
q76,100,0,1,1,7.605731010437012
q75,100,0,1,1,9.059906005859375e-06
q74,100,0,1,1,7.239641904830933
q19,100,0,1,1,6.282806158065796
q72,100,0,1,1,334.87356209754944
q71,100,0,1,1,7.557874917984009
q31,100,0,1,1,16.725682020187378
q82,100,0,1,1,41.53712296485901
q83,100,0,1,1,6.1324920654296875
q81,100,0,1,1,4.350293159484863
q84,100,0,1,1,8.586673974990845
q85,100,0,1,1,11.771161079406738
q11,100,0,1,1,18.370912075042725
q89,100,0,1,1,6.441310882568359
q46,100,0,1,2,21.581421852111816
q42,100,0,1,2,8.888345956802368
q43,100,0,1,2,10.645162105560303
q78,100,0,1,2,39.74652886390686
q68,100,0,1,2,19.36956000328064
q25,100,0,1,2,100.24149513244629
q26,100,0,1,2,8.647731065750122
q65,100,0,1,2,41.971455097198486
q29,100,0,1,2,101.95170497894287
q75,100,0,1,2,6.9141387939453125e-06
q62,100,0,1,2,4.639163970947266
q63,100,0,1,2,13.23801302909851
q1,100,0,1,2,8.527929067611694
q3,100,0,1,2,10.34489893913269
q2,100,0,1,2,17.462675094604492
q4,100,0,1,2,27.300447940826416
q7,100,0,1,2,17.875434160232544
q19,100,0,1,2,16.910608053207397
q50,100,0,1,2,43.14379096031189
q53,100,0,1,2,11.731058835983276
q52,100,0,1,2,11.250491857528687
q99,100,0,1,2,13.981419086456299
q59,100,0,1,2,35.81864595413208
q91,100,0,1,2,3.453721046447754
q96,100,0,1,2,8.295109033584595
q55,100,0,1,2,5.635751008987427
q93,100,0,1,2,33.04453492164612
q15,100,0,1,2,6.924797058105469
q31,100,0,1,2,22.274124145507812
q30,100,0,1,2,5.265953063964844
q11,100,0,1,2,22.727505207061768
q79,100,0,1,2,22.36261820793152
q34,100,0,1,2,13.80352783203125
q76,100,0,1,2,7.6354570388793945
q39,100,0,1,2,53.86962294578552
q74,100,0,1,2,11.12924599647522
q73,100,0,1,2,11.164753913879395
q71,100,0,1,2,15.586337089538574
q17,100,0,1,2,108.9566900730133
q83,100,0,1,2,6.182722091674805
q81,100,0,1,2,5.456484079360962
q85,100,0,1,2,14.56566596031189
q89,100,0,1,2,12.030422925949097
q46,100,1,1,2,21.602259874343872
q42,100,1,1,2,8.097105979919434
q43,100,1,1,2,12.618329048156738
q78,100,1,1,2,16.88325810432434
q68,100,1,1,2,21.44883418083191
q25,100,1,1,2,99.13892412185669
q26,100,1,1,2,10.490267038345337
q65,100,1,1,2,14.82287311553955
q55,100,1,1,2,9.438549995422363
q75,100,1,1,2,5.0067901611328125e-06
q62,100,1,1,2,5.643908977508545
q63,100,1,1,2,14.446757078170776
q1,100,1,1,2,9.672593116760254
q3,100,1,1,2,9.82897400856018
q2,100,1,1,2,16.527679920196533
q4,100,1,1,2,26.35729193687439
q7,100,1,1,2,26.07472586631775
q19,100,1,1,2,14.669827938079834
q50,100,1,1,2,48.070072889328
q53,100,1,1,2,17.215869903564453
q52,100,1,1,2,7.607925176620483
q99,100,1,1,2,10.245957851409912
q59,100,1,1,2,24.218729972839355
q96,100,1,1,2,8.841329097747803
q91,100,1,1,2,4.2558629512786865
q93,100,1,1,2,39.543033838272095
q15,100,1,1,2,6.952451944351196
q17,100,1,1,2,114.08969116210938
q30,100,1,1,2,4.1153340339660645
q11,100,1,1,2,24.612900972366333
q79,100,1,1,2,18.729439973831177
q34,100,1,1,2,13.555457830429077
q76,100,1,1,2,14.749006986618042
q39,100,1,1,2,66.46534895896912
q74,100,1,1,2,9.637446165084839
q73,100,1,1,2,14.37807297706604
q71,100,1,1,2,14.820811986923218
q29,100,1,1,2,98.34272718429565
q31,100,1,1,2,23.02925992012024
q83,100,1,1,2,8.326913833618164
q81,100,1,1,2,3.491917133331299
q85,100,1,1,2,14.758974075317383
q89,100,1,1,2,12.807775974273682
q46,100,0,1,3,46.434690952301025
q42,100,0,1,3,12.669335842132568
q68,100,0,1,3,32.95313596725464
q26,100,0,1,3,13.207166910171509
q29,100,0,1,3,144.8249740600586
q55,100,0,1,3,12.444518089294434
q62,100,0,1,3,8.38686490058899
q63,100,0,1,3,19.73023009300232
q3,100,0,1,3,14.381497859954834
q2,100,0,1,3,30.568025827407837
q4,100,0,1,3,27.744713068008423
q7,100,0,1,3,36.30448293685913
q65,100,0,1,3,50.0973379611969
q50,100,0,1,3,34.88606095314026
q53,100,0,1,3,21.65354299545288
q52,100,0,1,3,10.343403100967407
q99,100,0,1,3,11.697248935699463
q59,100,0,1,3,45.909454107284546
q96,100,0,1,3,19.705976963043213
q93,100,0,1,3,40.445773124694824
q15,100,0,1,3,8.001839876174927
q31,100,0,1,3,25.755763053894043
q30,100,0,1,3,8.342164993286133
q11,100,0,1,3,42.852195024490356
q79,100,0,1,3,26.080487966537476
q34,100,0,1,3,19.869304895401
q76,100,0,1,3,31.72556495666504
q75,100,0,1,3,5.9604644775390625e-06
q74,100,0,1,3,16.807002067565918
q73,100,0,1,3,21.288519859313965
q71,100,0,1,3,23.675198078155518
q17,100,0,1,3,160.23058414459229
q83,100,0,1,3,13.993952989578247
q81,100,0,1,3,4.409840822219849
q85,100,0,1,3,16.978986978530884
q89,100,0,1,3,18.758970022201538
q46,100,1,1,3,29.506211042404175
q42,100,1,1,3,3.729010820388794
q43,100,1,1,3,16.2228901386261
q78,100,1,1,3,22.74072790145874
q68,100,1,1,3,34.348877906799316
q25,100,1,1,3,129.9581651687622
q26,100,1,1,3,15.440124034881592
q65,100,1,1,3,39.818552017211914
q55,100,1,1,3,11.891948938369751
q75,100,1,1,3,5.0067901611328125e-06
q62,100,1,1,3,3.2759671211242676
q63,100,1,1,3,21.342668056488037
q1,100,1,1,3,9.231938123703003
q3,100,1,1,3,15.604403972625732
q2,100,1,1,3,20.797688961029053
q4,100,1,1,3,46.084959983825684
q7,100,1,1,3,39.683948040008545
q19,100,1,1,3,20.43698501586914
q50,100,1,1,3,68.95699501037598
q53,100,1,1,3,30.027867078781128
q52,100,1,1,3,13.591068983078003
q99,100,1,1,3,15.782512187957764
q59,100,1,1,3,39.638370990753174
q96,100,1,1,3,15.352799892425537
q91,100,1,1,3,4.070124864578247
q93,100,1,1,3,48.80061078071594
q15,100,1,1,3,10.567073106765747
